,emoji_symbol,emoji_name,emoji_code,emoji_description
81,😞,Disappointed Face,U+1F61E,"A yellow face with a frown and closed, downcast eyes, as if aching with sorrow or pain. May convey a variety of unhappy emotions, including disappointment, grief, stress, regret, and remorse.Similar to😔Pensive Face, but with a sadder, more hurt expression. Samsung’s designpreviously featuredan expression closer to😕Confused Face."
82,😓,Downcast Face with Sweat,U+1F613,"A yellow face with closed eyes, frown, and a bead of sweat dripping from its forehead. Usually depicted with a single sweat bead on its right side, though Microsoft includes two.Meaning widely varies, but commonly conveys a moderate degree of sadness, pain, frustration, or disappointment, similar to😢Crying Faceand😥Sad But Relieved Face. Not to be confused with😅Grinning Face With Sweator other emojis with tear or sweat droplets.Googlepreviously featureda blue face. Microsoftpreviously depictedmultiple beads of sweat from around the smiley’s forehead. Earlier designsfrom Samsunghad morepleadingeyes."
83,😩,Weary Face,U+1F629,"A yellow face with closed eyes, furrowed brows, and a broad, open frown, as if distraught to the point of giving up. Usually shown with upper teeth and sometimes tongue.May convey various feelingsof frustration, sadness, amusement, and affection.Often playful in tone.Similar in appearance and meaning to😫Tired Face, but with crescent-shaped eyes. Samsung’s design previously featured large eyes half-closed in tiredness.This emoji has a cat variant,🙀Weary Cat Face, though it more closely resembles😱Face Screaming in Fear."
84,😫,Tired Face,U+1F62B,"A yellow face with scrunched, X-shaped eyes, furrowed eyebrows, and a broad, open frown, as if yawning in exhaustion or groaning in exasperation. Usually shown with upper teeth and sometimes tongue.While intended to represent tiredness, it commonly conveys various degrees and tones of frustration and sadness as well excitement and affection, as if it just can’t handle how great someone or something is.Similar in appearance and meaning to😩 Weary Face, but with scrunched eyes. Not to be confused with😪 Sleepy Faceor😴 Sleeping Face, which often convey actually being asleep.Samsung’s designpreviously featuredthree, vertical, blue lines over its forehead, which can indicate fatigue in manga and anime."
85,🥱,Yawning Face,U+1F971,"A yellow face with eyes closed and mouth wide open covered by a hand. Captured mid-yawn, this may represent having insufficient sleep, or to imply boredom with a person or topic.Not to be confused with😪 Sleepy Faceor😴 Sleeping Face, which often convey actually being asleep, or😫 Tired Facewhich is tired as in ""fed up"".Yawning Facewas approved as part ofUnicode 12.0in 2019
and added toEmoji 12.0in 2019."
86,😤,Face with Steam From Nose,U+1F624,"A yellow face with closed eyes, furrowed eyebrows, broad frown, and two puffs of steam blowing out of its nose, as if in a huff or fuming.May convey various negative emotions, including irritation, anger, and contempt. May also convey feelings of pride, dominance, and empowerment.Originally namedFace With Look of Triumph, and the steam from its nose may derive froma visual shorthand for frustration or disdainin anime and manga.Samsung’s designpreviously lookedlike its head was titled back in a more arrogant expression. Earlier designsfrom Microsoftdepicted a big, open mouth without steam andfrom Facebook,a smiley that resembled😬 Grimacing Face."
87,😡,Pouting Face,U+1F621,"A red face with an angry expression: frowning mouth with eyes and eyebrows scrunched downward. Bears the same expression as😠Angry Faceon most platforms and may convey more intense degrees of anger, e.g., hate or rage.Samsung’s designpreviously featureda yellow face with theanger symbolon its forehead. Microsoft’s designpreviously featuredayellow face with a more hurt expression.Not to be confused with🙎 Person With Pouting Face. This emoji also has a cat variant,😾Pouting Cat Face."
88,😠,Angry Face,U+1F620,"A yellow face with a frowning mouth and eyes and eyebrows scrunched downward in anger. Google’s design features a reddish face and Facebook’s, clenched teeth.Conveys varyingdegrees of anger, from grumpiness and irritation to disgust and outrage. May also represent someone acting tough or being mean.Samsung’s designpreviously featureda reddish face with clenched teeth and wrinkled chin."
89,🤬,Face with Symbols on Mouth,U+1F92C,"An angry-red face with a black bar and whitegrawlixescovering its mouth, indicating it's swearing or being vulgar. Grawlixes are typographical symbols (e.g.,@#$%&!) representing swear words or obscenities. Often used to convey an outburst of anger, frustration, or rage.Most platforms feature the same eyes as on their😠 Angry Face."
90,😈,Smiling Face with Horns,U+1F608,"A face, usually purple, with devil horns, a wide grin, and eyes and eyebrows scrunched downward in the same manner as😠Angry Faceon most platforms. Google’s design is red and Facebook’s has black horns and green eyes.Commonly used to convey mischief, naughtiness, and excitement or excellence (slang,badorwicked). May also represent devils or devilish behavior, especially aroundHalloween. More playful and suggestive than its impish counterpart,👿Angry Face With Horns.GoogleandSamsungpreviously depicted orangish-red characters, with Google once featuringa frownand Samsunga sharp snaggletooth."
91,👿,Angry Face with Horns,U+1F47F,"A face, usually purple, with two devil horns, frowning mouth and eyes, and eyebrows scrunched downwards in anger. Bears the same expression as😠Angry Faceand😡Pouting Faceon most platforms. Google’s design is red and Facebook’s has black horns, green eyes, and clenched teeth.Its Unicode name,Imp, alludes to asmall demonin folklore, though the smiley is commonly used to represent devils and devilish behavior, especially aroundHalloween. It is also used to convey various sentiments of anger or ideas of evil. More menacing than its counterpart,😈Smiling Face With Horns.Samsungpreviously depicteda childlike character with red hair and horns, fangs, and black wings. Earlier designs fromGoogle featuredan orangish-red character with blue hair and wings."
92,💀,Skull,U+1F480,"A whitish-gray, cartoon-styled human skull with large, black eye sockets. Commonly expresses figurative death, e.g.,dyingfrom extreme laughter, frustration, or affection.Popular aroundHalloween. Not to be confused with☠️Skull and Crossbones, though their applications may overlap.Available as an AppleAnimoji."
93,☠️,️ Skull and Crossbones,"U+2620, U+FE0F","A cartoon humanskullatop an X-shaped pair ofbones, as on apirate flagor poison symbol. Samsung’s designpreviously displayeda skull and crossbones on a yellow triangle, indicating a hazardous material.May represent various ideas of death or danger, e.g.,dyingfrom laughter orkilling itwith great skill. May also represent various pirate characters or mascots.Popular aroundHalloween. Not to be confused with💀Skull, though their applications may overlap."
94,💩,Pile of Poo,U+1F4A9,"A swirl of brown poop,shaped likesoft-serve ice creamwith large, excited eyes and a big, friendlysmile.May be used to represent feces and other bathroom topics as well as stand in for their manyrelated slang terms. It also enjoys a wide range of idiosyncratic applications, such as conveying a sense of whimsy or silliness, given its fun, happy expression.Microsoftand Google previously depicted a literal pile of feces,Google’s designfeaturing stink lines and flies hovering above it.Available as an AppleAnimoji."
95,🤡,Clown Face,U+1F921,"A classic circus or birthday clown. Features white facemakeup, a red nose, exaggerated eyes and smile, and two tufts of hair (red or blue). May convey thatsomeone is silly orfoolish or that something is creepy orscary."
96,👹,Ogre,U+1F479,"A grotesque, red face with horns, wide eyes, a large nose, crooked fangs, and a fringe of shaggy hair. Depicts anoni, a kind of hideous ogre in Japanese folklore.OnNew Year’s Evein some parts of Japan, men may wearonimasks and straw coats to dress up asnamahage, another mythic being,to chide naughty children or ward off evil. May popularly denote supernatural or figurative beasts and demons."
97,👺,Goblin,U+1F47A,"A menacing, red mask featuring a grotesquely long nose, angry eyes, and bushy eyebrows and mustache. Depicts atengu, a proud trickster figure in Japanese folklore.May popularly denote evil, anger, cruel or mischievous behavior, and sexual suggestion, due to the phallic appearance of its nose. May also represent supernatural or figurative trolls, goblins, and other such beings."
98,👻,Ghost,U+1F47B,"Boo! A white, cartoon ghost making a silly face. Its tongue is stuck out and arms are outstretched, as if trying to scare someone in a friendly way. Several platforms feature one larger, bulging eye.Resembles a classic ghost costume forHalloween. May also be used to convey something or someone is fun or goofy. Thanks to its raised arms, some use thisemoji as a way of expressing an excitedYay!Samsung's designpreviously depictedthis as a smiley in a ghost costume.Ghostwas approved as part ofUnicode 6.0in 2010
and added toEmoji 1.0in 2015."
99,👽,Alien,U+1F47D,"A classic alien face. The oval, bare head of a gray or green alien with large black eyes and a slight, friendly smile.Samsung depicts nostrils, Facebook a nose.May represent extraterrestrial life or topics concerning outer space, but commonly conveys a playful sense of weirdnessor strangeness, as if someone or something isoutthereorfrom another planet.Available as an AppleAnimoji.Apple previously displayeda similar lookingalien head in a boxas a placeholder for an unknown emoji, but now shows a boxed question mark."
100,👾,Alien Monster,U+1F47E,"A friendly-looking, tentacled space creature with two eyes. Most major platforms style their design after aliens in classic arcade games likeSpace Invaders, rendering it purple and pixellated, as if in 8-bit graphics.Samsung’s design resembles anoctopusandpreviously featureda big-brainedalien, à laStar Trek. Earlier designs fromGoogleandMicrosoftdepicted more cartoon-like alien monsters.May be used of topics concerning extraterrestrial life,outer space, gaming, and computing, but also enjoys a range of idiosyncratic applications, such asconveying asense of weirdness, wackiness, or excitement, given that the emoji looks like it is raising its arms shoutingYay!on many platforms."
